"Identifiant de la nomination","Identifiant du député","Prénom et nom du député","Identifiant de l'organe","Type de l'organe","Libellé de l'organe","Début de la nomination","Fin de la nomination","Qualité de la nomination"
"PM864039","PA841769","Éric Michoux","PO851592","GA","France-Mexique","2025-02-11","","Membre"
"PM863920","PA794030","Alexis Jolly","PO854268","GE","Montagne","2025-02-10","","Membre"
"PM865563","PA793354","Joëlle Mélin","PO851784","GA","France-Grèce","2025-02-20","","Vice-Président"
"PM858004","PA793432","Franck Allisio","PO851749","GA","France-Liban","2025-01-23","","Membre"
"PM864831","PA793816","Mélanie Thomin","PO854308","GE","Littoral","2025-02-18","","Membre"
"PM867918","PA721170","Stéphane Vojetta","PO851628","GA","France-Portugal","2025-04-01","2025-07-11","Membre"
"PM862042","PA719550","Liliana Tanguy","PO851939","GEVI","Groupe d'études à vocation internationale sur la Biélorussie","2025-01-31","","Vice-Président"
"PM875210","PA795954","Catherine Ibled","PO854313","GE","Longévité et adaptation de la société au vieillissement","2025-11-17","","Membre"
"PM865742","PA841613","Marc de Fleurian","PO851754","GA","France-Chypre","2025-02-24","2025-02-25","Membre"
"PM878910","PA759832","Agnès Pannier-Runacher","PO854561","GE","Santé mentale","2026-02-12","","Membre"
"PM871956","PA794570","Alexandre Sabatou","PO851239","GA","France-Islande","2025-07-01","2025-09-07","Membre"
"PM854929","PA841091","Arnaud Simion","PO854313","GE","Longévité et adaptation de la société au vieillissement","2024-12-20","","Membre"
"PM862221","PA610002","Eva Sas","PO854417","GE","Prostitution","2025-02-04","","Membre"
"PM882335","PA841377","Emeline Rey-Rinchet","PO851794","GA","France-Chine","2026-05-26","","Membre"
"PM865308","PA793452","Hendrik Davi","PO851522","GA","France-Québec","2025-02-19","","Membre"
"PM863132","PA794802","Charles Sitzenstuhl","PO851648","GA","France-Turquie","2025-01-27","","Vice-Président"
"PM862400","PA720446","Brigitte Liso","PO854273","GE","Discriminations et LGBTQI-phobies","2025-02-04","","Membre"
"PM864043","PA841769","Éric Michoux","PO851794","GA","France-Chine","2025-02-11","","Membre"
"PM863311","PA719118","François Cormier-Bouligeon","PO851304","GA","France-Israël","2025-02-06","","Membre"
"PM860789","PA842255","Anne Sicard","PO854519","GE","Chrétiens d'Orient","2025-01-29","2025-11-20","Membre"
"PM855486","PA793796","David Taupiac","PO854343","GE","Vigne, vin et œnologie","2025-01-08","","Membre"
"PM883604","PA793374","Romain Baubry","PO851447","GA","France-Haïti","2026-06-17","","Membre"
"PM860968","PA795552","Julien Odoul","PO851552","GA","France-Arménie","2025-01-30","","Membre"
"PM878301","PA794838","Didier Lemaire","PO851350","GA","France-Japon","2026-02-03","","Membre"
"PM855665","PA720354","Jean-Michel Jacques","PO854454","GE","Aéronautique et espace","2025-01-10","","Membre"
"PM871960","PA794570","Alexandre Sabatou","PO851350","GA","France-Japon","2025-07-01","","Membre"
"PM864401","PA642695","Éric Bothorel","PO851899","GA","France-Thaïlande","2025-02-12","","Membre"
"PM854933","PA793716","Laurent Croizier","PO854491","GE","Ruralité","2024-12-20","","Membre"
"PM861879","PA840979","Corentin Le Fur","PO851889","GA","France-Bangladesh","2025-02-03","","Membre"
"PM870615","PA795966","Stéphane Rambaud","PO851249","GA","France-Arabie Saoudite","2025-06-04","","Vice-Président"
"PM856576","PA795374","Pascal Lecamp","PO854278","GE","Déserts médicaux et accès aux soins","2025-01-16","","Membre"
"PM865312","PA841613","Marc de Fleurian","PO854449","GE","Alzheimer et maladies neurodégénératives","2025-02-19","2025-03-17","Membre"
"PM855844","PA794530","Matthieu Marchio","PO854349","GE","Forêt et filière bois","2025-01-13","","Membre"
"PM858398","PA1327","Nicolas Forissier","PO851209","GA","France-Jamaïque","2025-01-23","2025-11-12","Membre"
"PM857666","PA841563","Claire Marais-Beuil","PO851844","GA","France-République d'Autriche","2025-01-23","","Membre"
"PM860793","PA642725","Eric Liégeon","PO851492","GA","France-Suisse","2025-01-29","","Membre"
"PM856934","PA794146","Julie Laernoes","PO854439","GE","Impact des changements climatiques","2025-01-19","","Membre"
"PM855490","PA720362","Belkhir Belhaddad","PO854278","GE","Déserts médicaux et accès aux soins","2025-01-08","","Membre"
