"Identifiant de la nomination","Identifiant du député","Prénom et nom du député","Identifiant de l'organe","Type de l'organe","Libellé de l'organe","Début de la nomination","Fin de la nomination","Qualité de la nomination"
"PM863894","PA795228","Nadège Abomangoli","PO851945","GEVI","Groupe d'études à vocation internationale sur la Libye","2025-02-10","","Membre"
"PM858591","PA794702","Delphine Lingemann","PO851703","GA","France-Afghanistan","2025-01-23","","Membre"
"PM855603","PA643184","Brigitte Klinkert","PO854157","GE","Filière brassicole","2025-01-08","","Membre"
"PM872017","PA794570","Alexandre Sabatou","PO851572","GA","France-Slovénie","2025-07-01","2025-09-07","Membre"
"PM862549","PA793102","Christian Girard","PO854411","GE","Industries de défense","2025-02-05","2025-02-06","Membre"
"PM861817","PA842013","Steevy Gustave","PO854439","GE","Impact des changements climatiques","2025-02-03","","Membre"
"PM857246","PA842045","Julie Ozenne","PO854328","GE","Eau et biodiversité","2025-01-22","","Membre"
"PM860373","PA794114","Emmanuel Mandon","PO851971","GEVI","Groupe d'études à vocation internationale sur les relations avec le Saint Siège","2025-01-28","","Président"
"PM880487","PA870009","Lionel Duparay","PO854519","GE","Chrétiens d'Orient","2026-04-08","","Membre"
"PM856514","PA795950","David Amiel","PO854454","GE","Aéronautique et espace","2025-01-15","2025-11-12","Membre"
"PM858770","PA842271","Emmanuel Maurel","PO851522","GA","France-Québec","2025-01-23","","Membre"
"PM862728","PA841701","Léa Balage El Mariky","PO851648","GA","France-Turquie","2025-02-05","","Membre"
"PM858157","PA842117","Vincent Jeanbrun","PO851467","GA","France-Pologne","2025-01-23","2025-11-12","Membre"
"PM864984","PA841463","Estelle Mercier","PO854205","GE","Insertion professionnelle des jeunes","2025-02-19","","Vice-Président"
"PM860552","PA335612","Jean-Paul Lecoq","PO854225","GE","Kurdes","2025-01-28","","Membre"
"PM859681","PA721296","Guillaume Gouffier Valente","PO851522","GA","France-Québec","2025-01-27","","Membre"
"PM863639","PA330240","Éric Ciotti","PO854423","GE","Polices municipales","2025-02-10","","Membre"
"PM859068","PA793548","Caroline Colombier","PO854525","GE","Chasse et pêche","2025-01-24","","Membre"
"PM862195","PA793166","Jocelyn Dessigny","PO854519","GE","Chrétiens d'Orient","2025-02-04","","Membre"
"PM875363","PA721270","Stéphane Peu","PO872299","GE","Amiante","2025-11-04","","Vice-Président"
"PM862907","PA795636","Benjamin Lucas-Lundy","PO851819","GA","France-Roumanie","2025-02-05","","Membre"
"PM858336","PA793992","Henri Alfandari","PO854189","GE","Simplification administrative","2025-01-23","","Membre"
"PM861463","PA805166","Anne Bergantz","PO851552","GA","France-Arménie","2025-01-30","","Membre"
"PM881577","PA840067","Gabriel Tomatis","PO851542","GA","France-Monaco","2026-05-06","","Membre"
"PM860731","PA793194","Lionel Vuibert","PO851673","GA","France-Allemagne","2025-01-29","","Membre"
"PM860118","PA793532","Murielle Lepvraud","PO851329","GA","France-Namibie","2025-01-28","","Président"
"PM859860","PA794322","Thomas Ménagé","PO851602","GA","France-République démocratique du Congo","2025-01-28","","Membre"
"PM863818","PA795228","Nadège Abomangoli","PO851784","GA","France-Grèce","2025-02-10","","Membre"
"PM862374","PA721336","Blandine Brocard","PO854471","GE","Handicap et inclusion","2025-02-04","","Membre"
"PM858515","PA795900","Marine Hamelet","PO851507","GA","France-Guinée","2025-01-23","","Membre"
"PM857071","PA719922","Lionel Causse","PO854308","GE","Littoral","2025-01-21","","Membre"
"PM861029","PA840665","Marie-José Allemand","PO851557","GA","France-Moldavie","2025-01-30","","Président"
"PM864729","PA841471","Stéphane Hablot","PO851329","GA","France-Namibie","2025-02-14","","Vice-Président"
"PM863285","PA841813","Florence Herouin-Léautey","PO854508","GE","Vie associative, éducation populaire et bénévolat","2025-02-06","","Vice-Président"
"PM872021","PA794570","Alexandre Sabatou","PO851371","GA","France-Sri Lanka-Maldives","2025-07-01","2025-09-07","Membre"
"PM866985","PA841613","Marc de Fleurian","PO851366","GA","France-Cambodge","2025-03-15","2025-03-17","Membre"
"PM859426","PA2940","Dominique Voynet","PO854184","GE","Prisons et conditions carcérales","2025-01-27","","Membre"
"PM861821","PA842013","Steevy Gustave","PO854561","GE","Santé mentale","2025-02-03","","Membre"
"PM857250","PA842045","Julie Ozenne","PO854308","GE","Littoral","2025-01-22","","Membre"
"PM864196","PA794562","Philippe Ballard","PO851537","GA","France-Ukraine","2025-02-11","2025-02-28","Vice-Président"
"PM861208","PA267561","Brigitte Barèges","PO851304","GA","France-Israël","2025-01-30","2025-07-11","Membre"
"PM880491","PA870009","Lionel Duparay","PO854349","GE","Forêt et filière bois","2026-04-08","","Membre"
"PM864908","PA795330","Eléonore Caroit","PO856882","GA","France-Palestine","2025-02-18","2025-11-12","Membre"
"PM863464","PA608826","Virginie Duby-Muller","PO851673","GA","France-Allemagne","2025-02-06","","Membre"
"PM862732","PA841701","Léa Balage El Mariky","PO854375","GE","Ouïghours","2025-02-05","","Membre"
"PM858161","PA793374","Romain Baubry","PO851729","GA","France-Irak","2025-01-23","2026-06-16","Membre"
"PM864375","PA642695","Éric Bothorel","PO851729","GA","France-Irak","2025-02-12","","Membre"
"PM873111","PA345722","Constance Le Grip","PO851467","GA","France-Pologne","2025-09-25","","Membre"
"PM863643","PA330240","Éric Ciotti","PO851284","GA","France-Côte d'Ivoire","2025-02-10","","Membre"
"PM862911","PA795454","Karim Ben Cheikh","PO851854","GA","France-Soudan","2025-02-05","","Membre"
"PM858340","PA794954","Emeric Salmon","PO851724","GA","France-Espagne","2025-01-23","","Membre"
"PM865286","PA722390","Josiane Corneloup","PO854210","GE","Grande distribution et grande consommation","2025-02-19","","Membre"
"PM881581","PA840067","Gabriel Tomatis","PO851971","GEVI","Groupe d'études à vocation internationale sur les relations avec le Saint Siège","2026-05-06","","Membre"
"PM868986","PA794734","Michel Guiniot","PO851214","GA","France-Estonie","2025-04-29","","Vice-Président"
"PM860122","PA721062","Jean-Hugues Ratenon","PO851709","GA","France-Seychelles","2025-01-28","","Président"
"PM863822","PA795228","Nadège Abomangoli","PO851834","GA","France-Inde","2025-02-10","","Membre"
"PM866197","PA1630","Michel Herbillon","PO851376","GA","France-Italie","2025-03-05","","Secrétaire"
"PM863209","PA718838","Fabrice Brun","PO851542","GA","France-Monaco","2025-02-06","","Membre"
"PM881760","PA841059","Catherine Dellong Meng","PO851477","GA","France-Brésil","2026-05-12","","Membre"
"PM861033","PA841367","Christophe Proença","PO851628","GA","France-Portugal","2025-01-30","","Président"
"PM855997","PA794658","Philippe Fait","PO854278","GE","Déserts médicaux et accès aux soins","2025-01-14","","Membre"
"PM864733","PA841471","Stéphane Hablot","PO851899","GA","France-Thaïlande","2025-02-14","","Vice-Président"
"PM860301","PA794762","Sandrine Dogor-Such","PO851628","GA","France-Portugal","2025-01-28","","Membre"
"PM859430","PA794718","Christine Engrand","PO851834","GA","France-Inde","2025-01-27","","Membre"
"PM865644","PA795100","Éric Martineau","PO851934","GEVI","Groupe d'études à vocation internationale Taïwan","2025-02-21","","Vice-Président"
"PM861212","PA267561","Brigitte Barèges","PO851522","GA","France-Québec","2025-01-30","2025-07-11","Membre"
"PM864912","PA719528","Jean-François Portarrieu","PO851437","GA","France-Corée du Sud","2025-02-18","","Vice-Président"
"PM867287","PA721004","Amélia Lakrafi","PO851612","GA","France-Maroc","2025-03-18","","Secrétaire"
"PM866555","PA794094","Mickaël Bouloux","PO851572","GA","France-Slovénie","2025-03-10","","Vice-Président"
"PM862123","PA795330","Eléonore Caroit","PO851698","GA","France-Cuba","2025-01-31","2025-11-12","Vice-Président"
"PM867466","PA794954","Emeric Salmon","PO851214","GA","France-Estonie","2025-03-19","","Membre"
"PM863034","PA266797","Philippe Gosselin","PO854525","GE","Chasse et pêche","2025-02-05","","Membre"
"PM857998","PA793432","Franck Allisio","PO851376","GA","France-Italie","2025-01-23","","Membre"
"PM865290","PA791824","Sarah Legrain","PO854369","GE","Spectacle vivant","2025-02-19","","Vice-Président"
"PM863213","PA718838","Fabrice Brun","PO851386","GA","France-Royaume des Pays-Bas","2025-02-06","","Membre"
"PM855388","PA840837","Pascal Markowsky","PO854343","GE","Vigne, vin et œnologie","2025-01-07","","Membre"
"PM864124","PA719778","François Jolivet","PO851849","GA","France-Oman","2025-02-11","","Membre"
"PM859999","PA795998","Émeline K/Bidi","PO854235","GE","Illettrisme et illectronisme","2025-01-28","","Co-Président"
"PM881330","PA793166","Jocelyn Dessigny","PO854338","GE","Enjeux frontaliers et transfrontaliers","2026-04-29","","Membre"
"PM855567","PA721202","Éric Coquerel","PO854391","GE","Villes et banlieues","2025-01-08","","Membre"
"PM867291","PA793736","Hadrien Clouet","PO851929","GA","France-République centrafricaine","2025-03-19","","Membre"
"PM864303","PA795762","Elie Califer","PO854530","GE","Sécurité routière","2025-02-12","","Membre"
"PM854835","PA817211","René Pilato","PO854417","GE","Prostitution","2024-12-19","2025-11-03","Membre"
"PM859000","PA794530","Matthieu Marchio","PO851386","GA","France-Royaume des Pays-Bas","2025-01-24","","Membre"
"PM865214","PA642868","Paul Christophe","PO854157","GE","Filière brassicole","2025-02-18","2026-04-06","Vice-Président"
"PM855746","PA793230","Angélique Ranc","PO854508","GE","Vie associative, éducation populaire et bénévolat","2025-01-11","","Membre"
"PM867470","PA841487","Anthony Boulogne","PO851482","GA","France-Madagascar","2025-03-19","","Vice-Président"
"PM871428","PA719032","Bertrand Bouyx","PO854278","GE","Déserts médicaux et accès aux soins","2025-06-10","","Secrétaire"
"PM883152","PA794114","Emmanuel Mandon","PO851924","GA","France-Sénégal","2026-06-10","","Membre"
"PM866125","PA719032","Bertrand Bouyx","PO854215","GE","Îles anglo-normandes","2025-03-04","","Secrétaire"
"PM868381","PA266797","Philippe Gosselin","PO851442","GA","France-Canada","2025-04-07","","Secrétaire"
"PM855925","PA794838","Didier Lemaire","PO854338","GE","Enjeux frontaliers et transfrontaliers","2025-01-13","","Membre"
"PM870163","PA841665","Denis Fégné","PO854561","GE","Santé mentale","2025-05-28","","Membre"
"PM857568","PA793182","Jorys Bovet","PO854561","GE","Santé mentale","2025-01-22","","Membre"
"PM860695","PA793182","Jorys Bovet","PO851249","GA","France-Arabie Saoudite","2025-01-29","","Membre"
"PM855392","PA774954","Anne-Laure Blin","PO854555","GE","Sapeurs-pompiers, sécurité civile et gestion des crises","2025-01-07","","Membre"
"PM858479","PA721182","Frédéric Petit","PO851467","GA","France-Pologne","2025-01-23","","Membre"
"PM857747","PA840135","Alexandre Dufosset","PO851884","GA","France-Norvège","2025-01-23","","Membre"
"PM860874","PA795454","Karim Ben Cheikh","PO851427","GA","France-Cap-Vert","2025-01-29","","Président"
"PM880988","PA794578","Véronique Ludmann","PO854251","GE","Autisme","2026-04-16","","Membre"
"PM855571","PA841463","Estelle Mercier","PO854391","GE","Villes et banlieues","2025-01-08","","Membre"
"PM858658","PA842125","Thomas Lam","PO851366","GA","France-Cambodge","2025-01-23","","Membre"
"PM861785","PA721024","Anne Genetet","PO851199","GA","France-Birmanie","2025-02-03","","Membre"
"PM857926","PA719528","Jean-François Portarrieu","PO851355","GA","France-Amérique centrale","2025-01-23","","Membre"
"PM856482","PA795540","Daniel Grenon","PO854491","GE","Ruralité","2025-01-15","","Membre"
"PM872164","PA870010","Sébastien Martin","PO851607","GA","France-Croatie","2025-07-02","2025-11-12","Membre"
"PM859569","PA795844","Karen Erodi","PO851254","GA","France-Algérie","2025-01-27","","Membre"
"PM871432","PA335054","Marietta Karamanli","PO854278","GE","Déserts médicaux et accès aux soins","2025-06-10","","Secrétaire"
"PM858837","PA795176","Nicolas Metzdorf","PO851764","GA","France-Singapour","2025-01-23","","Membre"
"PM861964","PA840979","Corentin Le Fur","PO851532","GA","France-Nigéria","2025-02-03","","Membre"
"PM860619","PA793134","Jérôme Buisson","PO851859","GA","France-Suède","2025-01-29","","Membre"
"PM856048","PA266808","Vincent Rolland","PO854406","GE","Enseignement privé","2025-01-14","","Membre"
"PM869216","PA841563","Claire Marais-Beuil","PO851693","GA","France-Liberia","2025-04-29","","Secrétaire"
"PM859748","PA720162","Philippe Bolo","PO856870","GA","France-Rwanda","2025-01-27","2026-04-26","Membre"
"PM862875","PA842013","Steevy Gustave","PO851824","GA","France-République dominicaine","2025-02-05","","Vice-Président"
"PM855316","PA794118","Antoine Vermorel","PO854444","GE","Cheval","2025-01-03","","Membre"
"PM857572","PA793182","Jorys Bovet","PO854364","GE","Thermalisme","2025-01-22","","Membre"
"PM860086","PA841657","Anaïs Belouassa-Cherifi","PO851869","GA","France-Macédoine du Nord","2025-01-28","2025-03-06","Président"
"PM863786","PA795228","Nadège Abomangoli","PO851199","GA","France-Birmanie","2025-02-10","","Membre"
"PM856227","PA841693","Jean Laussucq","PO854519","GE","Chrétiens d'Orient","2025-01-15","2025-07-11","Membre"
"PM859927","PA795864","Pierre Cazeneuve","PO854157","GE","Filière brassicole","2025-01-28","","Membre"
"PM858483","PA721182","Frédéric Petit","PO851472","GA","France-Serbie","2025-01-23","","Membre"
"PM857751","PA774954","Anne-Laure Blin","PO851422","GA","France-Kazakhstan","2025-01-23","","Membre"
"PM864697","PA841981","Catherine Rimbert","PO854454","GE","Aéronautique et espace","2025-02-11","2025-10-05","Secrétaire"
"PM861709","PA720952","Aurélien Taché","PO851339","GA","France-Vietnam","2025-01-31","","Membre"
"PM880992","PA794578","Véronique Ludmann","PO854471","GE","Handicap et inclusion","2026-04-16","","Membre"
"PM860265","PA642847","Thibault Bazin","PO851401","GA","France-Tchad","2025-01-28","","Membre"
"PM863965","PA842187","Gabrielle Cathala","PO851577","GA","France-Congo","2025-02-11","","Vice-Président"
"PM859394","PA795966","Stéphane Rambaud","PO851472","GA","France-Serbie","2025-01-27","","Membre"
"PM858662","PA842125","Thomas Lam","PO851734","GA","France-Djibouti","2025-01-23","","Membre"
"PM875076","PA227089","Valérie Létard","PO854323","GE","Logement et écoconstruction","2025-11-13","","Membre"
"PM857930","PA795950","David Amiel","PO851688","GA","France-Tunisie","2025-01-23","2025-11-12","Membre"
"PM864876","PA718850","Pierre Cordier","PO851628","GA","France-Portugal","2025-02-18","","Vice-Président"
"PM860444","PA793330","Bryan Masson","PO854519","GE","Chrétiens d'Orient","2025-01-28","2026-04-01","Membre"
"PM859573","PA719968","Sylvie Bonnet","PO851467","GA","France-Pologne","2025-01-27","","Membre"
"PM862087","PA840979","Corentin Le Fur","PO854210","GE","Grande distribution et grande consommation","2025-02-03","","Membre"
"PM858841","PA795176","Nicolas Metzdorf","PO851829","GA","France-Vanuatu","2025-01-23","","Membre"
"PM858228","PA840665","Marie-José Allemand","PO851552","GA","France-Arménie","2025-01-23","","Membre"
"PM881469","PA841595","Cendrine Chazé","PO851971","GEVI","Groupe d'études à vocation internationale sur les relations avec le Saint Siège","2026-05-05","","Membre"
"PM860623","PA793134","Jérôme Buisson","PO851350","GA","France-Japon","2025-01-29","","Membre"
"PM856052","PA266808","Vincent Rolland","PO854323","GE","Logement et écoconstruction","2025-01-14","","Membre"
"PM859752","PA842311","Vincent Caure","PO851859","GA","France-Suède","2025-01-27","","Membre"
"PM855320","PA794810","Louise Morel","PO854343","GE","Vigne, vin et œnologie","2025-01-03","","Membre"
"PM859139","PA795786","Yaël Ménaché","PO851955","GEVI","Groupe d’études à vocation internationale Corée du Nord","2025-01-24","2025-05-26","Membre"
"PM862266","PA793532","Murielle Lepvraud","PO854308","GE","Littoral","2025-02-04","","Membre"
"PM875434","PA841151","Alix Fruchon","PO854278","GE","Déserts médicaux et accès aux soins","2025-11-20","","Membre"
